State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
VA,Alexandria,College of Engineering,In-State Scholarship Fund,Scholarship,Mechanical Engineering,91
OH,Cincinnati,College of Political Science,College of Communication Arts and Sciences,Scholarship,Social Relations and Policy,4327
CA,Los Angeles,College of Agriculture and Natural Resources,College of Communication Arts and Sciences,Scholarship,Agriculture and Natural Resources-No Preference,6723
TX,El Paso,College of Agriculture and Natural Resources,Campus Museums,Campus Resource,Environmental Economics and Policy,290
OH,Cincinnati,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Horticulture,3742
NV,Henderson,College of Arts and Sciences,University Annual Fund,Endowment,Studio Art,8501
TX,Houston,College of Arts and Sciences,Campus Recreation,Campus Resource,Apparel and Textile Design,1411
TX,Houston,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Apparel and Textile Design,1411
OH,Cleveland,College of Natural Science,Alumni Association,Campus Resource,Environmental Geosciences,9502
OH,Cleveland,College of Natural Science,University Libraries,Campus Resource,Environmental Geosciences,9502
TX,Houston,College of Engineering,College of Education,Scholarship,Materials Science and Engineering,7490
TX,Houston,College of Engineering,University Annual Fund,Endowment,Materials Science and Engineering,7490
NC,Durham,College of Natural Science,Honors Program,Campus Resource,Actuarial Science,8323
NC,Durham,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Actuarial Science,8323
CO,Colorado Springs,College of Engineering,Diversity Fund,Endowment,Applied Engineering Sciences,2911
CO,Colorado Springs,College of Engineering,Faculty Chair Endowments,Endowment,Applied Engineering Sciences,2911
MI,Detroit,College of Social Science,Diversity Fund,Endowment,Public Policy,3354
MI,Detroit,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Public Policy,3354
PA,Philadelphia,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Environmental Biology/Plant Biol,5130
PA,Philadelphia,College of Natural Science,Faculty Chair Endowments,Endowment,Environmental Biology/Plant Biol,5130
CT,Hartford,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Packaging,1871
CT,Hartford,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Packaging,1871
OH,Cleveland,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Biochemistry and Molecular Biology/Biotechnology,8538
OH,Cleveland,College of Natural Science,College of Communication Arts and Sciences,Scholarship,Biochemistry and Molecular Biology/Biotechnology,8538
WA,Seattle,College of Engineering,Faculty Chair Endowments,Endowment,Applied Engineering Sciences,8577
WA,Seattle,College of Engineering,Diversity Fund,Endowment,Applied Engineering Sciences,8577
TN,Knoxville,College of Engineering,College of Natural Science,Scholarship,Materials Science and Engineering,2918
TN,Knoxville,College of Engineering,College of Natural Science,Scholarship,Materials Science and Engineering,2918
CA,Sacramento,College of Nursing,College of Music,Scholarship,Nursing,6339
CA,Sacramento,College of Nursing,Campus Recreation,Campus Resource,Nursing,6339
RI,Providence,College of Natural Science,Campus Museums,Campus Resource,Environmental Biology/Microbiology,9025
TN,Memphis,College of Arts and Sciences,Diversity Fund,Endowment,Russian,9153
OR,Eugene,College of Music,University Libraries,Campus Resource,Composition,7301
FL,Orlando,College of Nursing,Honors Program,Campus Resource,Summer Research Program,1606
TX,San Antonio,College of Natural Science,University Annual Fund,Endowment,Earth Science Interdepartmental,8584
VA,Richmond,College of Natural Science,College of Education,Scholarship,Biochemistry and Molecular Biology,9475
TX,Dallas,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Nutritional Sciences,2325
TN,Memphis,College of Natural Science,Campus Recreation,Campus Resource,Chemistry,41
CA,San Francisco,College of Arts and Sciences,University Annual Fund,Endowment,Global Studies in the Arts and Humanities,7239
FL,Miami,College of Arts and Sciences,College of Business,Scholarship,Interdisciplinary Humanities,5107
CA,San Diego,College of Engineering,Trustees Fund,Endowment,Mechanical Engineering,7346
CA,San Francisco,College of Business,University Annual Fund,Endowment,General Management,8867
NY,New York,College of Communication Arts and Sciences,Diversity Fund,Endowment,Media and Information,9
CA,San Francisco,College of Engineering,College of Social Science,Scholarship,Applied Engineering Sciences,8331
NY,New York,College of Education,Minority Scholarship Fund,Scholarship,Kinesiology,6283
MA,Boston,College of Arts and Sciences,College of Social Science,Scholarship,French,6892
CT,Hartford,College of Natural Science,College of Social Science,Scholarship,Microbiology,9818
TX,Dallas,College of Arts and Sciences,University Annual Fund,Endowment,Russian,4852
GA,Atlanta,College of Arts and Sciences,College of Engineering,Scholarship,Humanities-Prelaw,4501
NC,Charlotte,College of Social Science,College of Political Science,Scholarship,Sociology,6718
GA,Atlanta,College of Political Science,Parents Association,Campus Resource,College of Political Science,4709
AL,Huntsville,College of Natural Science,College of Natural Science,Scholarship,Human Biology,1609
CT,Hartford,College of Social Science,Diversity Fund,Endowment,Urban and Regional Planning,100
LA,New Orleans,College of Natural Science,Parents Association,Campus Resource,Geological Sciences,7480
OR,Portland,College of Arts and Sciences,University Annual Fund,Endowment,Humanities-Prelaw,9630
CO,Denver,College of Natural Science,Campus Recreation,Campus Resource,Chemistry,1056
TX,Houston,College of Natural Science,Diversity Fund,Endowment,Actuarial Science,4840
CT,Hartford,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Agribusiness Management,3115
CO,Denver,College of Music,University Annual Fund,Endowment,Music,13933.5
TX,Dallas,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Environmental Studies and Agriscience,8514
SC,Charleston,College of Natural Science,Athletics,Campus Resource,Plant Biology,625
AL,Birmingham,College of Arts and Sciences,Alumni Association,Campus Resource,Experience Architecture,8980
AL,Mobile,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Arabic,1438
SC,Charleston,College of Nursing,Faculty Chair Endowments,Endowment,Nursing,8740
NC,Raleigh,College of Arts and Sciences,Diversity Fund,Endowment,Apparel and Textile Design,9598
TN,Nashville,College of Natural Science,Diversity Fund,Endowment,Plant Biology,4877
GA,Savannah,College of Political Science,University Libraries,Campus Resource,Political Theory and Constitutional Democracy,3802
NY,New York,College of Natural Science,Athletics,Campus Resource,Environmental Biology/Microbiology,1290
TX,Houston,College of Arts and Sciences,Diversity Fund,Endowment,Interdisciplinary Humanities,3947
CA,San Francisco,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Food Science,6083
FL,Orlando,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Fisheries and Wildlife,2640
VA,Alexandria,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Earth Science Interdepartmental,5468
MA,Boston,College of Natural Science,Trustees Fund,Endowment,Biomedical Laboratory Science,5539
TN,Memphis,College of Arts and Sciences,Campus Recreation,Campus Resource,Arabic,6073
CA,Fresno,College of Arts and Sciences,College of Natural Science,Scholarship,Chinese,6638
FL,Miami,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Urban and Regional Planning,5947
CO,Denver,College of Engineering,Minority Scholarship Fund,Scholarship,Biosystems Engineering,8088
WA,Seattle,College of Engineering,College of Natural Science,Scholarship,Electrical Engineering,5068
NY,New York,College of Natural Science,College of Business,Scholarship,Human Biology,6481
MN,St. Paul,College of Communication Arts and Sciences,Faculty Chair Endowments,Endowment,Journalism,3438
AZ,Phoenix,College of Music,University Annual Fund,Endowment,Music Performance,8910
MA,Boston,College of Music,University Annual Fund,Endowment,Composition,7487
NM,Albuquerque,College of Natural Science,In-State Scholarship Fund,Scholarship,Chemical Physics,8045
FL,Orlando,College of Social Science,Faculty Chair Endowments,Endowment,Public Policy,8886
AZ,Tucson,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Packaging,4575
IL,Chicago,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Food Science,8701
CA,San Francisco,College of Social Science,University Libraries,Campus Resource,Economics,5668
FL,Miami,College of Nursing,College of Natural Science,Scholarship,Summer Research Program,303
NC,Charlotte,College of Social Science,College of Engineering,Scholarship,Interdisciplinary Studies in Social Science,1548
OR,Salem,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Horticulture,7306
TN,Memphis,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Environmental Studies and Agriscience,1440
AZ,Phoenix,College of Natural Science,Diversity Fund,Endowment,Microbiology,5144
TX,Dallas,College of Social Science,University Annual Fund,Endowment,Geographic Information Science,5325
NH,Manchester,College of Social Science,Parents Association,Campus Resource,Interdisciplinary Studies in Social Science - Social Science Education,3351
NC,Durham,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Professional Writing,6813
KS,Wichita,College of Arts and Sciences,University Annual Fund,Endowment,Art Education,8310
CO,Denver,College of Social Science,Diversity Fund,Endowment,Sociology,280.5
WA,Spokane,College of Natural Science,Faculty Chair Endowments,Endowment,Preoptometry,5618
MO,Kansas City,College of Engineering,Diversity Fund,Endowment,Applied Engineering Sciences,4222
MO,Kansas City,College of Natural Science,College of Music,Scholarship,Neuroscience,6502
CO,Colorado Springs,College of Arts and Sciences,College of Music,Scholarship,Spanish,2768
PA,Pittsburgh,College of Social Science,Diversity Fund,Endowment,History Education,2162
OR,Portland,College of Communication Arts and Sciences,Trustees Fund,Endowment,Journalism,8641
AZ,Phoenix,College of Arts and Sciences,College of Natural Science,Scholarship,Theatre,3721
LA,New Orleans,College of Natural Science,College of Arts and Sciences,Scholarship,Environmental Biology/Microbiology,2529
NC,Raleigh,College of Natural Science,Alumni Association,Campus Resource,Astrophysics,7856
RI,Providence,College of Natural Science,College of Arts and Sciences,Scholarship,Genomics & Molecular Genetics,2229
TN,Memphis,College of Arts and Sciences,University Annual Fund,Endowment,Chinese,218
CA,San Diego,College of Engineering,Alumni Association,Campus Resource,Electrical Engineering,2390
WA,Spokane,College of Agriculture and Natural Resources,College of Music,Scholarship,Food Science,669
IL,Chicago,College of Political Science,College of Music,Scholarship,Social Relations and Policy,9380
OH,Cincinnati,College of Veterinary Medicine,University Annual Fund,Endowment,Preveterinary,8154
FL,Tallahassee,College of Business,University Annual Fund,Endowment,Finance,6119
TN,Memphis,College of Social Science,Diversity Fund,Endowment,Public Policy,4804
MA,Boston,College of Communication Arts and Sciences,Diversity Fund,Endowment,Media and Information,4547
MI,Lansing,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Interior Design,1599
CO,Denver,College of Business,Faculty Chair Endowments,Endowment,Supply Chain Management,12567
OH,Cincinnati,College of Music,Diversity Fund,Endowment,Jazz Studies,5854
AZ,Phoenix,College of Arts and Sciences,College of Natural Science,Scholarship,Art History and Visual Culture,2368
AZ,Tucson,College of Natural Science,Trustees Fund,Endowment,Plant Biology,5620
CT,Hartford,College of Political Science,Faculty Chair Endowments,Endowment,Political Theory and Constitutional Democracy,8038
KS,Overland Park,College of Natural Science,Campus Museums,Campus Resource,Plant Biology,5819
CA,San Diego,College of Agriculture and Natural Resources,College of Education,Scholarship,Natural Resource Recreation and Tourism,3219
NM,Albuquerque,College of Natural Science,College of Education,Scholarship,Environmental Biology/Plant Biol,1144
AZ,Phoenix,College of Arts and Sciences,Trustees Fund,Endowment,English,1942
NV,Las Vegas,College of Music,College of Natural Science,Scholarship,Composition,3158
NC,Charlotte,College of Business,College of Communication Arts and Sciences,Scholarship,General Management,3620
WA,Seattle,College of Arts and Sciences,College of Communication Arts and Sciences,Scholarship,Apparel and Textile Design,8692
TX,El Paso,College of Communication Arts and Sciences,College of Communication Arts and Sciences,Scholarship,Media and Information,4574
AR,Little Rock,College of Engineering,University Libraries,Campus Resource,Applied Engineering Sciences,4976
CA,Sacramento,College of Arts and Sciences,College of Communication Arts and Sciences,Scholarship,Studio Art,5669
CO,Denver,College of Education,College of Communication Arts and Sciences,Scholarship,Education,14565
LA,New Orleans,College of Engineering,College of Arts and Sciences,Scholarship,Mechanical Engineering,7404
FL,Jacksonville,College of Natural Science,Faculty Chair Endowments,Endowment,Environmental Biology/Microbiology,5685
NY,Syracuse,College of Natural Science,Trustees Fund,Endowment,Physical Science Interdepartmental,1707
TX,Houston,College of Social Science,Trustees Fund,Endowment,Public Policy,8939
NY,New York,College of Arts and Sciences,Trustees Fund,Endowment,Russian,796
UT,Provo,College of Arts and Sciences,Athletics,Campus Resource,Art Education,5433
NE,Omaha,College of Social Science,University Annual Fund,Endowment,Political Science,6885
CA,San Francisco,College of Natural Science,University Libraries,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,9223
IL,Springfield,College of Social Science,Diversity Fund,Endowment,Interdisciplinary Studies in Social Science,4604
FL,Orlando,College of Social Science,University Annual Fund,Endowment,Geography,9776
CT,Hartford,College of Arts and Sciences,College of Social Science,Scholarship,Studio Art,8281
MI,Lansing,College of Natural Science,College of Social Science,Scholarship,Environmental Biology/Plant Biol,3714
IL,Chicago,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Fisheries and Wildlife,4452
IN,Indianapolis,College of Arts and Sciences,Parents Association,Campus Resource,Linguistics,7424
MI,Lansing,College of Natural Science,University Annual Fund,Endowment,Predental,2107
NC,Durham,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Entomology,8985
CA,Sacramento,College of Social Science,University Annual Fund,Endowment,Geography,8479
GA,Atlanta,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Geological Sciences,7128
CO,Denver,College of Social Science,In-State Scholarship Fund,Scholarship,Interdisciplinary Studies in Social Science,1470
TX,Houston,College of Engineering,Athletics,Campus Resource,Materials Science and Engineering,9769
NY,New York,College of Music,College of Social Science,Scholarship,Music Performance,8902
CA,San Francisco,College of Natural Science,College of Social Science,Scholarship,Human Biology,7426
WA,Seattle,College of Social Science,Minority Scholarship Fund,Scholarship,Human Development and Family Studies,4517
OH,Cincinnati,College of Engineering,College of Natural Science,Scholarship,Engineering-No Major,6663
MO,St. Louis,College of Education,College of Music,Scholarship,Education,8339
LA,Baton Rouge,College of Political Science,Campus Museums,Campus Resource,Political Theory and Constitutional Democracy,4083
NY,New York,College of Arts and Sciences,University Annual Fund,Endowment,Women's and Gender Studies,8843
DC,Washington,College of Music,Faculty Chair Endowments,Endowment,Music,2233
CO,Colorado Springs,College of Engineering,Trustees Fund,Endowment,Computer Science,2338
NY,New York,College of Agriculture and Natural Resources,Athletics,Campus Resource,Environmental Economics and Policy,9596
MN,St. Paul,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Agribusiness Management,3784
FL,Orlando,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Computational Mathematics,8437
OH,Cincinnati,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Geography,6943
TX,Austin,College of Natural Science,Diversity Fund,Endowment,Environmental Biology/Plant Biol,7108
OK,Oklahoma City,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Food Science,659
DC,Washington,College of Natural Science,College of Natural Science,Scholarship,Biomedical Laboratory Science,9249
KY,Louisville,College of Social Science,College of Natural Science,Scholarship,Psychology,3556
NY,New York,College of Business,Trustees Fund,Endowment,Supply Chain Management,7510
CA,San Francisco,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Food Industry Management,8709
CA,San Francisco,College of Natural Science,In-State Scholarship Fund,Scholarship,Statistics,6754
TX,Houston,College of Arts and Sciences,Trustees Fund,Endowment,Art History and Visual Culture,2611
VA,Alexandria,College of Natural Science,Athletics,Campus Resource,Geological Sciences,3328
FL,Fort Lauderdale,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Packaging,4189
OH,Cincinnati,College of Social Science,University Annual Fund,Endowment,Criminal Justice,6778
DC,Washington,College of Natural Science,Honors Program,Campus Resource,Environmental Biology/Microbiology,2850
IN,Indianapolis,College of Engineering,Campus Recreation,Campus Resource,Engineering-No Major,6331
AZ,Phoenix,College of Natural Science,College of Social Science,Scholarship,Preoptometry,3132
MI,Detroit,College of Nursing,College of Agriculture and Natural Resources,Scholarship,Nursing,1429
NY,Rochester,College of Social Science,Trustees Fund,Endowment,Geography,4164
KY,Louisville,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Landscape Architecture,7477
SC,Columbia,College of Natural Science,College of Social Science,Scholarship,Chemical Physics,6691
OK,Tulsa,College of Social Science,Trustees Fund,Endowment,Political Science,555
AZ,Phoenix,College of Veterinary Medicine,College of Arts and Sciences,Scholarship,Preveterinary,9077
CO,Denver,College of Engineering,College of Arts and Sciences,Scholarship,Materials Science and Engineering,12022.5
CO,Colorado Springs,College of Natural Science,University Annual Fund,Endowment,Environmental Geosciences,6798
MO,Kansas City,College of Social Science,Faculty Chair Endowments,Endowment,Global & Area Studies - Soc Sci,2331
MO,Kansas City,College of Natural Science,Honors Program,Campus Resource,Actuarial Science,1006
PA,Philadelphia,College of Business,College of Engineering,Scholarship,Marketing,9143
CO,Denver,College of Engineering,Athletics,Campus Resource,Engineering-No Major,14497.5
IA,Cedar Rapids,College of Engineering,College of Arts and Sciences,Scholarship,Applied Engineering Sciences,4693
TX,Houston,College of Engineering,Athletics,Campus Resource,Environmental Engineering,6449
AZ,Phoenix,College of Natural Science,Faculty Chair Endowments,Endowment,Biomedical Laboratory Science,4680
WA,Spokane,College of Natural Science,Trustees Fund,Endowment,Physical Science Interdepartmental,5349
CO,Denver,College of Political Science,Faculty Chair Endowments,Endowment,Comparative Cultures and Politics,6600
TX,Austin,College of Social Science,Campus Recreation,Campus Resource,Geographic Information Science,3138
TX,Houston,College of Music,College of Natural Science,Scholarship,Music,6666
IA,Cedar Rapids,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Art History and Visual Culture,3267
TX,Amarillo,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Chinese,8921
SC,Charleston,College of Social Science,Parents Association,Campus Resource,History Education,7111
NY,Rochester,College of Business,College of Arts and Sciences,Scholarship,Finance,7753
MI,Detroit,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Environmental Economics and Policy,6132
VA,Alexandria,College of Arts and Sciences,University Libraries,Campus Resource,French,8234
MI,Grand Rapids,College of Business,College of Music,Scholarship,Supply Chain Management,8433
MN,Minneapolis,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Professional Writing,6562
SC,Columbia,College of Nursing,College of Arts and Sciences,Scholarship,Prenursing,8302
CA,Los Angeles,College of Natural Science,College of Arts and Sciences,Scholarship,Predental,8960
CO,Denver,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Art History and Visual Culture,12073.5
FL,Jacksonville,College of Nursing,Faculty Chair Endowments,Endowment,Summer Research Program,3010
LA,Baton Rouge,College of Natural Science,Alumni Association,Campus Resource,Zoology,8997
NY,New York,College of Veterinary Medicine,Diversity Fund,Endowment,Preveterinary,1994
NC,Durham,College of Social Science,University Annual Fund,Endowment,Public Policy,6947
OR,Portland,College of Political Science,University Annual Fund,Endowment,Social Relations and Policy,9828
CO,Denver,College of Nursing,University Libraries,Campus Resource,Nursing,9369
CO,Denver,College of Social Science,College of Social Science,Scholarship,History Education,10521
AZ,Phoenix,College of Communication Arts and Sciences,College of Social Science,Scholarship,Media and Information,3392
CA,Los Angeles,College of Political Science,Faculty Chair Endowments,Endowment,Comparative Cultures and Politics,4125
CA,San Francisco,College of Arts and Sciences,University Annual Fund,Endowment,Arts & Letters-General,3761
KS,Overland Park,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Apparel and Textiles,2861
NY,New York,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Professional Writing,4600
TX,Houston,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Agribusiness Management,9020
DC,Washington,College of Agriculture and Natural Resources,Honors Program,Campus Resource,Environmental Studies and Agriscience,204
WI,Milwaukee,College of Arts and Sciences,University Libraries,Campus Resource,Chinese,1879
IL,Chicago,College of Arts and Sciences,Honors Program,Campus Resource,Theatre,5663
NY,New York,College of Arts and Sciences,Athletics,Campus Resource,French,9848
FL,Orlando,College of Social Science,College of Natural Science,Scholarship,Urban and Regional Planning,8530
GA,Savannah,College of Natural Science,University Annual Fund,Endowment,Biological Science Interdepartmental,8793
TX,Houston,College of Natural Science,University Libraries,Campus Resource,Preoptometry,1010
OR,Salem,College of Business,College of Social Science,Scholarship,Human Resource Management,2442
IL,Chicago,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Humanities-Prelaw,2253
KS,Wichita,College of Social Science,Diversity Fund,Endowment,Political Science,662
TX,Houston,College of Social Science,University Annual Fund,Endowment,Social Work,2028
IN,Indianapolis,College of Natural Science,Alumni Association,Campus Resource,Environmental Biology/Microbiology,2435
WA,Seattle,College of Arts and Sciences,College of Social Science,Scholarship,Japanese,5540
OH,Cincinnati,College of Arts and Sciences,College of Social Science,Scholarship,Global Studies in the Arts and Humanities,3825
OH,Cincinnati,College of Natural Science,Minority Scholarship Fund,Scholarship,Biomedical Laboratory Science,8792
MO,St. Louis,College of Business,Trustees Fund,Endowment,Human Resource Management,4332
TX,Houston,College of Natural Science,Honors Program,Campus Resource,Environmental Biology/Zoology,5093
IN,Indianapolis,College of Social Science,Diversity Fund,Endowment,History Education,6591
TX,Dallas,College of Natural Science,College of Social Science,Scholarship,Earth Science Interdepartmental,4095
FL,Orlando,College of Agriculture and Natural Resources,Minority Scholarship Fund,Scholarship,Agribusiness Management,7434
AZ,Phoenix,College of Social Science,College of Education,Scholarship,Political Science,3722
FL,Orlando,College of Engineering,College of Education,Scholarship,Computer Science,2649
MI,Detroit,College of Arts and Sciences,Faculty Chair Endowments,Endowment,German,4130
SC,Charleston,College of Social Science,Diversity Fund,Endowment,Anthropology,2407
CO,Denver,College of Social Science,Athletics,Campus Resource,World Politics,12645
NC,Durham,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Food Science,9928
CT,Hartford,College of Natural Science,Alumni Association,Campus Resource,Chemistry,2336
TX,Austin,College of Natural Science,Honors Program,Campus Resource,Computational Mathematics,7451
OK,Oklahoma City,College of Social Science,Diversity Fund,Endowment,Sociology,9643
NC,Charlotte,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Environmental Economics and Policy,2717
CO,Denver,College of Communication Arts and Sciences,College of Social Science,Scholarship,Journalism,1389
IL,Chicago,College of Natural Science,College of Engineering,Scholarship,Actuarial Science,6638
IL,Naperville,College of Natural Science,Alumni Association,Campus Resource,Actuarial Science,10019
OH,Cincinnati,College of Education,College of Communication Arts and Sciences,Scholarship,Athletic Training,3029
OH,Cincinnati,College of Education,University Annual Fund,Endowment,Athletic Training,9632
TX,Houston,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Interior Design,1455
TX,Houston,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Interior Design,9535
MO,Kansas City,College of Arts and Sciences,Diversity Fund,Endowment,Apparel and Textiles,8660
MO,Kansas City,College of Arts and Sciences,Diversity Fund,Endowment,Apparel and Textiles,4599
TX,San Antonio,College of Arts and Sciences,College of Natural Science,Scholarship,Interdisciplinary Humanities,5020
TX,San Antonio,College of Arts and Sciences,Athletics,Campus Resource,Interdisciplinary Humanities,10213
VA,Richmond,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Agribusiness Management,1022
VA,Richmond,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Agribusiness Management,3962
FL,Miami,College of Communication Arts and Sciences,Trustees Fund,Endowment,Media and Information,4618
FL,Miami,College of Communication Arts and Sciences,University Annual Fund,Endowment,Media and Information,7507
TX,Dallas,College of Education,College of Natural Science,Scholarship,Athletic Training,3319
TX,Dallas,College of Education,College of Natural Science,Scholarship,Athletic Training,11593
NV,Las Vegas,College of Natural Science,Faculty Chair Endowments,Endowment,Biochemistry and Molecular Biology,5606
NV,Las Vegas,College of Natural Science,College of Natural Science,Scholarship,Biochemistry and Molecular Biology,7647
AZ,Mesa,College of Music,Diversity Fund,Endowment,Music,7861
AZ,Mesa,College of Music,College of Agriculture and Natural Resources,Scholarship,Music,5544
VA,Alexandria,College of Education,College of Agriculture and Natural Resources,Scholarship,Athletic Training,543
VA,Alexandria,College of Education,University Annual Fund,Endowment,Athletic Training,6163
NY,New York,College of Nursing,Trustees Fund,Endowment,Nursing,3215
NY,New York,College of Nursing,University Annual Fund,Endowment,Nursing,7056
CA,San Diego,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Entomology,2178
CA,San Diego,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Entomology,3175
GA,Savannah,College of Natural Science,Faculty Chair Endowments,Endowment,Human Biology,9497
GA,Savannah,College of Natural Science,Parents Association,Campus Resource,Human Biology,10679
DC,Washington,College of Social Science,In-State Scholarship Fund,Scholarship,History Education,3960
DC,Washington,College of Social Science,College of Agriculture and Natural Resources,Scholarship,History Education,2544
OR,Portland,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Biochemistry and Molecular Biology/Biotechnology,3901
OR,Portland,College of Natural Science,Diversity Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,10945
UT,Salt Lake City,College of Education,College of Natural Science,Scholarship,Kinesiology,9336
UT,Salt Lake City,College of Education,Minority Scholarship Fund,Scholarship,Kinesiology,1887
TX,Houston,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Studio Art,8282
TX,Houston,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Studio Art,11207
IL,Chicago,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Environmental Studies and Agriscience,2284
IL,Chicago,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Environmental Studies and Agriscience,3240
CO,Denver,College of Natural Science,University Annual Fund,Endowment,Plant Biology,5934
CO,Denver,College of Natural Science,Trustees Fund,Endowment,Plant Biology,11674.5
FL,Miami,College of Social Science,College of Social Science,Scholarship,Sociology,6881
FL,Miami,College of Social Science,College of Engineering,Scholarship,Sociology,3326
PA,Philadelphia,College of Social Science,Trustees Fund,Endowment,Global & Area Studies - Soc Sci,1811
PA,Philadelphia,College of Social Science,College of Arts and Sciences,Scholarship,Global & Area Studies - Soc Sci,5332
OR,Salem,College of Political Science,Campus Recreation,Campus Resource,Social Relations and Policy,501
OR,Salem,College of Political Science,University Annual Fund,Endowment,Social Relations and Policy,4340
MO,St. Louis,College of Engineering,College of Music,Scholarship,Biosystems Engineering,7415
MO,St. Louis,College of Engineering,Trustees Fund,Endowment,Biosystems Engineering,5490
IL,Springfield,College of Arts and Sciences,Diversity Fund,Endowment,Art History and Visual Culture,9944
IL,Springfield,College of Arts and Sciences,College of Engineering,Scholarship,Art History and Visual Culture,9787
NC,Charlotte,College of Engineering,College of Communication Arts and Sciences,Scholarship,Applied Engineering Sciences,5657
NC,Charlotte,College of Engineering,Faculty Chair Endowments,Endowment,Applied Engineering Sciences,6375
CA,San Diego,College of Natural Science,College of Communication Arts and Sciences,Scholarship,Environmental Biology/Plant Biol,685
CA,San Diego,College of Natural Science,College of Natural Science,Scholarship,Environmental Biology/Plant Biol,9131
TX,Houston,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Nutritional Sciences,52
TX,Houston,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Nutritional Sciences,2129
WA,Spokane,College of Social Science,College of Arts and Sciences,Scholarship,Social Work,8862
WA,Spokane,College of Social Science,College of Arts and Sciences,Scholarship,Social Work,11927
CA,Anaheim,College of Arts and Sciences,Campus Museums,Campus Resource,Professional Writing,1122
CA,Anaheim,College of Arts and Sciences,University Annual Fund,Endowment,Professional Writing,9753
OH,Cincinnati,College of Arts and Sciences,Campus Recreation,Campus Resource,Women's and Gender Studies,2780
OH,Cincinnati,College of Arts and Sciences,College of Business,Scholarship,Women's and Gender Studies,4078
CA,Los Angeles,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Nutritional Sciences,2243
CA,Los Angeles,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Nutritional Sciences,11921
AZ,Phoenix,College of Social Science,College of Music,Scholarship,Economics,3986
AZ,Phoenix,College of Social Science,Minority Scholarship Fund,Scholarship,Economics,5383
CO,Denver,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Nutritional Sciences,2068.5
